#=================================================================
# BMW: RFP NVWR Monitoring by Model Range and Market
# Report suite: BMW-Global-All
"# Date: Jun 1, 2026 - Jun 30, 2026"
#=================================================================


##############################################
# Share of High Value New Vehicle Web Requests Last Month (%)
##############################################
,New Vehicle Web Requests | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL,Share of high value NVWR (%) | H | GROUP | ALL
G61E,2130,0.5300469483568075,0.5454545454545454,0.10285714285714286,0.5357142857142857,0.6571428571428571,0.6477272727272727,0.6,0.34782608695652173,0.2345679012345679,0.4482758620689655,,0.8333333333333334,0.4,0.6666666666666666,0.5,1,1,,0
G70,1760,0.35852272727272727,0.4847250509164969,0,0.37209302325581395,0.023255813953488372,0.5681818181818182,0.08333333333333333,0.6666666666666666,0.3888888888888889,0.6063829787234043,0.15517241379310345,0.7272727272727273,0.8181818181818182,0.7142857142857143,0.5454545454545454,0.9122807017543859,0.375,0,0
G70E,1962,0.427624872579001,0.5090609555189456,0.12931034482758622,0.609375,0.42592592592592593,0.6842105263157895,0.6111111111111112,0.38823529411764707,0.4411764705882353,0.5362318840579711,0.2926829268292683,0.6129032258064516,0.8333333333333334,1,0.6,0.75,0.25,0.38362068965517243,0.038461538461538464
G90,675,0.4059259259259259,0.520618556701031,0.15447154471544716,0.2894736842105263,0.4375,0.6086956521739131,0.6923076923076923,0.5,0.35294117647058826,0.8095238095238095,0.2222222222222222,0.4444444444444444,0.4,0.5,0,1,0.6666666666666666,0,0.08333333333333333
I20,2203,0.44212437585111214,0.5790322580645161,0.11203319502074689,0.3055555555555556,0.5915492957746479,0.44642857142857145,1,0.15476190476190477,0.7415730337078652,0.5925925925925926,0.07692307692307693,0.5,0.5294117647058824,0.5,0.42857142857142855,0.7619047619047619,,0,0.10256410256410256
NA5,23939,0.4610468273528552,0.5759692630108278,0.10070744902205576,0.47338403041825095,0.5912110373019929,0.5349593495934959,0.7880794701986755,0.35426731078904994,0.4691588785046729,0.5789473684210527,0.1888111888111888,0.6666666666666666,0.6981132075471698,0.8467153284671532,0.5256410256410257,0.872093023255814,0.6862745098039216,0,0
U10,1799,0.5808782657031685,0.5502645502645502,0.10204081632653061,0.6236933797909407,0.69375,0.5961538461538461,0.7171052631578947,0.46153846153846156,0.42857142857142855,0.6598639455782312,0,0.68,0.6153846153846154,0.768595041322314,1,0.5,0.75,0,0.22857142857142856
U10E,2382,0.6435768261964736,0.6169265033407573,0.12121212121212122,0.8194444444444444,0.738430583501006,0.5608108108108109,0.9428571428571428,0.3474576271186441,0.6101694915254238,0.8,0,0.5384615384615384,0.7222222222222222,0.775,0,1,0.5,0.9761904761904762,0
U11,6839,0.5341424184822342,0.533787323205867,0.06756756756756757,0.5173383317713215,0.7194994786235662,0.5526315789473685,0.8469656992084432,0.5208333333333334,0.4796747967479675,0.5238095238095238,0.29850746268656714,0.7045454545454546,0.7666666666666667,0.6850393700787402,0.6428571428571429,1,0.7333333333333333,0.02857142857142857,0.1937984496124031
U11E,8109,0.610062893081761,0.5408637873754153,0.08365758754863813,0.5617977528089888,0.6687444345503116,0.6246153846153846,0.8860759493670886,0.4125874125874126,0.5114754098360655,0.7934782608695652,0.15,0.8648648648648649,0.84375,0.8529411764705882,0.8888888888888888,1,0.6666666666666666,0.9836065573770492,0.4074074074074074
